Timestamp,Open,Close,Low,High,Volume_(BTC),Volume_(Currency),Weighted_Price,hash_rate,Search_volume,Block_size,Difficulty,active_addresses,Block_time,Average fees,mining_profitability,Transactions,Tweets_volume,total,sentimentScore
2018-02-20,11159.12,11233.41,11080.37,11780.0,15880.909039800004,182156478.0197093,11220.278153,21079198.6661,25.0,917160.0,2967853337745.0,610136,10.213,3.042,0.993,198314,75215,1014,0.05301587771203156
2018-02-21,11233.42,10449.4,10256.0,11275.74,19959.67715651998,215353691.93533105,10457.021048999999,25265138.826717198,25.0,905555.0,3007383866430.0,615201,8.521,2.153,0.9420000000000001,205032,69562,916,0.09887510917030568
2018-02-22,10446.79,9843.34,9731.2,10935.0,20204.69095384,206051152.360138,9852.1745786,22275181.5691,25.0,840932.0,3007383866430.0,633718,9.664,2.121,0.8079999999999999,183086,66124,873,0.028458762886597936
2018-02-23,9843.33,10166.1,9600.0,10405.3,16044.039303329995,160782973.04522398,10165.976039,22125683.7062,25.0,921250.0,3007383866430.0,643584,9.73,4.015,0.88,185045,62576,675,0.12712577777777778
2018-02-24,10135.2,9689.99,9373.48,10540.63,13972.714723509987,137805304.51945195,9689.8553323,21677190.117597602,25.0,965935.0,3007383866430.0,627718,9.931000000000001,6.209,0.905,154389,56616,446,0.12324170403587445
2018-02-25,9688.26,9590.04,9260.0,9883.41,11037.176952689993,105367249.24686196,9587.009767,25564134.5525,19.0,660554.0,3007383866430.0,443104,8.421,2.763,0.865,144698,63393,396,0.06660959595959595
2018-02-26,9595.99,10324.7,9376.34,10461.97,16156.805056179968,162306362.38781133,10325.648489,21079198.6661,19.0,908912.0,3007383866430.0,517139,10.213,2.464,0.81,186333,66533,907,0.046533406835722164
2018-02-27,10329.99,10566.3,10150.0,10850.0,10408.479937750002,110086762.79585414,10581.403609,23919658.0607974,19.0,916653.0,3007383866430.0,594737,9.0,2.436,0.92,219464,64827,1098,0.047590892531876136
2018-02-28,10572.49,10314.9,10255.07,11064.75,10490.749058159998,111457734.83114848,10305.396483,23172168.7464,19.0,920691.0,3007383866430.0,680281,9.29,2.878,0.847,189068,68823,893,0.05321019036954088
2018-03-01,10314.99,10903.13,10223.41,11090.0,9481.665146109995,101712406.72730654,10923.063805,24667147.3752,19.0,915244.0,3007383866430.0,692152,8.727,2.377,1.005,233579,61852,1567,0.10177849393746012
2018-03-02,10917.37,11029.99,10774.01,11175.0,8329.097900860002,91455982.5049769,11031.433701,23321666.60927749,19.0,748187.0,3007383866430.0,595877,9.231,2.371,0.907,194917,61317,890,0.03139606741573034
2018-04-07,6627.7,6904.9,6600.99,7069.13,7683.0416526000035,52984840.49839296,6902.661653,31416438.0187018,16.0,466690.0,3511060552900.0,404330,8.0,1.216,0.5429999999999999,154459,52476,272,0.07370294117647057
2018-04-08,6904.21,7027.26,6894.8,7104.52,4352.697942019997,30482451.72275089,7020.472595100001,28100258.4501,15.0,361859.0,3511060552900.0,330211,8.943999999999999,1.0659999999999998,0.505,138374,52796,268,0.13010111940298508
2018-04-09,7027.26,6780.1,6611.49,7175.83,10103.91621615002,69104966.96503675,6779.770462,25656757.7153,15.0,618370.0,3511060552900.0,439488,9.796,0.879,0.45399999999999996,176416,59029,43039,0.1627548246938823
2018-04-10,6782.39,6835.67,6653.21,6900.0,6480.1927641799975,43978750.44675027,6835.443423999999,28623865.7503728,15.0,582899.0,3511060552900.0,459720,8.78,0.84,0.535,186251,59044,38835,0.15535249645937946
2018-04-11,6824.75,6940.94,6809.26,6984.92,5825.410645559993,40165964.25779423,6935.6079954,28100258.4501,15.0,533398.0,3511060552900.0,448320,8.943999999999999,0.8590000000000001,0.49200000000000005,183087,61072,28079,0.15707147690444814
2018-04-12,6940.94,7923.78,6758.45,8069.34,19033.380334400004,143664243.10167208,7917.268133699998,26878508.0827,15.0,687889.0,3511060552900.0,504382,9.351,1.246,0.517,210725,68886,40825,0.14591503490508267
